nickname,institute,is_postdoc,does_basketball,does_beer_pong,does_capture_the_flag,does_chess,does_fooseball,does_football,does_ping_pong,does_running/sprints,does_spikeball,does_tennis,does_volleyball,num_sports,avail_monday,avail_tuesday,avail_thursday,avail_friday,late_entry
Quixotic Zebu,MPA,False,False,True,False,False,True,False,True,False,False,False,False,3,False,False,False,True,False
Motherly Woodpecker,MPE,False,False,False,True,False,False,True,True,True,True,True,False,6,True,True,True,True,False
Ornate Cockatoo,MPA,False,False,False,False,True,False,False,False,False,False,False,False,1,True,True,True,True,False
Amusing Seal,ESO,False,False,False,True,False,True,False,False,False,True,False,True,4,True,False,True,True,False
Failing Muskrat,IPP,False,True,False,True,False,False,True,True,False,False,True,True,6,True,True,True,True,False
Graceful Llama,USM,False,False,True,True,False,False,True,False,False,True,False,True,5,True,True,True,True,False
Revolving Coelacanth,MPA,False,True,False,False,False,False,False,True,False,False,False,False,2,True,True,True,True,False
Well-documented Dodo,ESO,True,False,False,False,False,False,False,True,False,False,True,True,3,True,True,True,True,False
Thankful Kakapo,MPE,False,False,True,True,False,True,True,True,True,True,False,False,7,True,True,True,True,False
Both Caracal,USM,True,False,False,False,False,False,True,False,False,False,False,False,1,True,True,True,True,False
Reflecting Pug,MPE,False,False,True,False,False,False,False,True,False,False,False,True,3,True,False,False,True,False
Rewarding Ermine,ESO,False,False,True,True,False,True,False,False,False,True,False,True,5,True,True,True,False,False
Limp Monkey,ESO,False,False,True,False,False,False,True,True,False,False,False,True,4,True,True,True,True,False
Pricey Collie,MPA,True,False,False,False,False,True,False,True,False,False,True,False,3,False,True,False,True,False
Damaged Fly,MPE,False,True,True,True,False,True,False,True,False,True,False,True,7,True,False,True,True,False
Delirious Robin,IPP,True,False,True,True,False,False,True,False,False,False,False,False,3,False,True,True,True,False
Clumsy Lizard,IPP,True,True,False,False,False,False,False,False,False,False,False,True,2,True,False,False,False,False
Frightening Avocet,IPP,False,False,False,True,False,True,False,True,False,False,False,False,3,False,False,True,True,False
Horrible Lobster,MPE,False,False,False,False,False,False,True,True,False,False,False,False,2,False,True,False,True,False
Submissive Tetra,IPP,True,False,False,False,False,False,False,True,False,True,False,False,2,False,False,True,True,False
Separate Akbash,ESO,False,False,False,False,False,False,True,False,False,False,False,False,1,False,True,False,False,False
Extra-small Coyote,ESO,True,False,False,False,False,False,True,True,False,False,True,False,3,False,True,False,True,False
Excited Rabbit,IPP,False,True,True,True,True,True,True,True,False,True,False,True,9,True,True,False,False,False
Questionable Drever,USM,False,False,True,False,False,False,True,False,False,False,False,False,2,False,True,False,True,False
Ill-fated Meerkat,MPE,False,True,True,False,False,True,False,True,True,False,False,False,5,True,False,False,True,False
Indelible Cockroach,ESO,False,False,False,True,False,True,False,False,False,False,False,True,3,True,False,True,True,False
Trivial Uguisu,ESO,False,True,True,True,True,True,False,True,True,False,False,True,8,True,True,True,True,False
Assured Flamingo,IPP,True,False,False,False,False,False,False,False,False,True,False,True,2,True,False,True,False,False
